model,variant,algorithm,multiarith,gsm8k,addsub,aqua,singleeq,svamp,agieval,coin_flip,last_letters,commonsensqa,strategyqa,piqa,siqa,com2sense
Llama-3-70B,Base,base,98.2,94.7,85.9,50.9,91.3,83.7,45.8,95.2,88.2,73.6,69.1,80.5,85.8,74.9
Llama-3-70B,CoT,cot,98.4,94.7,86.2,50.9,91.8,84.3,45.6,96.2,88.4,72.9,69.6,79.9,85.8,75.1
Llama-3-70B,System 2,DPO,98.9,96.7,89.7,51.1,94.8,86.0,47.2,96.6,90.2,69.6,61.4,76.4,85.5,72.1
Llama-3-70B,System 2,SimPO,98.6,95.4,91.5,55.5,95.1,86.0,46.6,95.4,88.0,73.5,67.7,79.9,83.9,73.7
Llama-3-70B,System 1,DPO,97.8,93.9,82.5,48.8,85.6,80.3,41.4,93.8,87.8,75.3,70.9,81.1,86.2,75.6
Llama-3-70B,System 1,SimPO,97.5,94.3,81.9,49.7,90.2,83.1,44.0,94.2,87.6,73.9,69.6,81.5,85.9,75.3
Llama-3-70B,Dynamic,DPO,98.4,95.4,87.3,50.8,92.8,85.3,46.6,96.2,90.0,74.9,69.5,80.8,85.9,75.2
Llama-3-70B,Dynamic,SimPO,98.6,95.2,89.4,53.2,92.1,84.3,46.0,95.2,87.8,73.7,69.5,81.3,85.5,74.9
Llama-3-8B,Base,base,97.7,78.5,82.5,48.8,90.7,80.5,30.2,94.4,84.0,71.4,67.6,79.0,83.2,71.1
Llama-3-8B,CoT,cot,97.8,78.5,82.0,49.2,88.2,80.9,30.4,94.8,84.2,71.6,67.4,79.9,83.3,70.9
Llama-3-8B,System 2,DPO,98.7,79.4,89.9,49.2,94.4,85.4,33.0,94.8,86.2,71.4,60.9,76.4,81.2,67.9
Llama-3-8B,System 2,SimPO,97.8,79.4,90.1,54.7,94.5,81.7,32.6,94.4,84.8,69.6,67.4,78.2,81.5,69.2
Llama-3-8B,System 1,DPO,98.5,77.0,80.8,46.5,77.2,78.0,27.8,93.2,83.8,72.8,68.2,79.9,83.9,72.2
Llama-3-8B,System 1,SimPO,97.5,77.8,80.5,48.0,87.4,79.3,28.4,94.0,83.8,72.3,67.7,81.5,83.4,71.7
Llama-3-8B,Dynamic,DPO,98.9,79.2,88.1,48.9,93.6,84.8,31.8,94.6,86.0,71.9,69.8,79.3,83.7,72.2
Llama-3-8B,Dynamic,SimPO,97.6,79.2,88.9,54.5,93.0,81.3,30.8,94.2,84.4,71.6,68.2,80.1,83.2,71.7
Llama-3-3B,Base,base,75.3,68.8,70.5,30.5,66.3,53.9,24.6,77.8,66.2,62.4,69.1,59.9,73.2,45.8
Llama-3-3B,CoT,cot,75.3,69.1,72.0,31.2,66.6,53.7,25.2,78.2,66.4,62.1,69.3,60.0,73.4,45.6
Llama-3-3B,System 2,DPO,75.9,69.7,74.6,32.0,67.4,54.3,27.2,78.4,66.4,59.3,67.9,58.3,71.2,45.0
Llama-3-3B,System 2,SimPO,75.6,69.4,73.9,32.8,68.3,54.1,26.4,78.0,66.0,60.0,66.8,58.9,72.4,44.7
Llama-3-3B,System 1,DPO,74.9,67.4,68.3,29.8,65.0,51.5,22.0,76.6,63.8,61.7,69.5,60.1,74.6,45.8
Llama-3-3B,System 1,SimPO,75.2,68.0,68.1,30.3,62.7,51.3,22.8,77.8,64.2,62.3,70.2,60.0,74.5,46.5
Llama-3-3B,Dynamic,DPO,75.6,68.9,73.9,31.2,66.9,54.1,26.6,78.2,66.2,60.0,69.3,60.0,74.5,45.5
Llama-3-3B,Dynamic,SimPO,75.4,68.9,72.3,31.2,67.4,53.9,26.0,78.0,65.8,61.7,69.5,59.3,73.8,46.1
Mistral-7B,Base,base,77.7,54.9,79.6,31.5,83.9,66.3,27.0,43.2,1.6,66.3,65.4,68.4,82.5,60.0
Mistral-7B,CoT,cot,78.3,54.9,80.3,33.1,83.7,67.8,27.4,43.8,1.6,66.2,65.5,69.0,82.2,60.8
Mistral-7B,System 2,DPO,78.8,56.6,81.3,32.7,84.8,69.1,30.2,43.6,8.6,62.8,56.8,66.7,80.5,57.8
Mistral-7B,System 2,SimPO,78.3,55.4,82.3,34.3,86.8,68.5,27.8,45.4,7.8,64.8,63.6,68.2,82.1,59.8
Mistral-7B,System 1,DPO,77.5,51.4,79.5,29.5,83.1,67.4,24.8,40.4,0.0,67.4,65.5,70.8,83.2,60.0
Mistral-7B,System 1,SimPO,77.0,53.6,78.7,31.1,83.7,67.3,25.6,43.0,0.0,67.3,65.5,69.1,82.8,60.9
Mistral-7B,Dynamic,DPO,78.8,56.0,81.2,32.6,84.9,68.9,28.8,43.0,7.8,66.3,65.6,70.6,82.8,59.9
Mistral-7B,Dynamic,SimPO,78.4,55.2,81.9,33.9,86.7,68.3,27.2,45.0,7.4,67.1,65.6,69.3,82.8,60.0
DeepSeek-R1-Distill-Qwen-1.5B,Base,base,89.8,78.7,81.5,44.6,88.3,80.1,29.2,70.0,67.7,59.6,65.5,60.0,69.3,55.2
DeepSeek-R1-Distill-Qwen-1.5B,System 2,DPO,90.3,79.0,83.3,47.2,89.1,83.9,32.3,72.2,69.4,57.3,64.0,57.1,68.2,53.9
DeepSeek-R1-Distill-Qwen-1.5B,System 1,DPO,84.7,74.3,77.1,39.9,85.7,76.4,26.8,65.9,64.5,68.0,68.4,66.2,72.7,61.5
DeepSeek-R1-Distill-Qwen-1.5B,Dynamic,DPO,90.1,78.7,82.7,46.8,88.9,83.2,31.4,71.6,69.1,66.8,68.2,65.6,72.2,61.0
