System,Benchmark,Samples,Avg_Input_Tokens,Avg_Output_Tokens,Median_Output_Tokens,Min_Output_Tokens,Max_Output_Tokens,Std_Output_Tokens
System1,ADDSUB,395,104.80759493670887,4.868354430379747,1.0,1,117,14.562754158623488
System1,AQUA,254,292.5748031496063,85.76377952755905,32.5,1,256,92.77136884326842
System1,COIN,500,168.698,21.186,2.0,1,172,36.270585934059575
System1,COMMON,1221,183.8877968877969,48.72235872235872,42.0,1,249,42.36805774932752
System1,GSM,1319,156.35178165276724,2.1986353297952994,1.0,1,186,9.817205639503763
System1,LETTER,500,70.436,14.872,9.0,1,74,18.23928770539025
System1,MULTI,600,103.905,1.4383333333333332,1.0,1,127,6.484046875901568
System1,OBJECT,750,255.108,18.689333333333334,11.0,1,188,17.477170429512388
System1,SINGLE,508,97.03740157480316,5.710629921259843,1.0,1,130,16.299151141996813
System1,STRATEGY,2290,243.5598253275109,29.710917030567686,2.0,1,256,42.020158538649085
System1,SVAMP,1000,103.811,4.757,1.0,1,185,16.28189027723747
System2,ADDSUB,395,103.80759493670887,21.154430379746834,1.0,1,151,33.45828991320446
System2,AQUA,254,299.6968503937008,123.9251968503937,91.5,1,264,87.2151737398548
System2,COIN,500,191.232,26.584,18.5,1,163,27.87541827488872
System2,COMMON,1221,147.07125307125307,67.83619983619984,62.0,1,234,32.19643384201924
System2,GSM,1319,160.05761940864292,33.26231993934799,2.0,1,256,43.949720025233674
System2,LETTER,500,77.048,13.852,4.0,1,89,21.2020304688018
System2,MULTI,600,106.19666666666667,16.688333333333333,1.0,1,118,28.835531274607877
System2,OBJECT,750,278.116,53.40533333333333,45.0,4,256,34.171387225116995
System2,SINGLE,508,100.92913385826772,27.568897637795274,3.0,1,183,35.081081240314155
System2,STRATEGY,2290,242.446288209607,68.76812227074235,69.0,1,256,41.74305827250061
System2,SVAMP,1000,104.801,27.478,1.0,1,251,36.98991100286671
